community_cards_flop,community_cards_turn,community_cards_river,winners,uncalled_amount,pot,profits,players_active,player1_card,player1_action,player2_card,player2_action,player3_card,player3_action,player4_card,player4_action,player5_card,player5_action,player6_card,player6_action
"['4h', 'Kc', '2c']",,,[2],450,800,"[-400.0, 400.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0]","['Js', 'Tc']","['calls 50', 'calls 300', 'checks', 'folds']","['7c', '5c']","['raises 300 to 400', 'bets 450']","['5s', '6c']",['folds'],"['2d', '3h']",['folds'],"['3s', '6d']",['folds'],"['3c', 'Qd']",['folds']
,,,[5],100,250,"[-50.0, -100.0, 0.0, 0.0, 150.0, 0.0]","[0, 0, 0, 0, 1, 0]","['7c', '9c']",['folds'],"['6c', '3d']",['folds'],"['6h', '7d']",['folds'],"['5d', '7s']",['folds'],"['8d', 'Ac']",['raises 100 to 200'],"['Js', '9d']",['folds']
"['8d', '2d', '9d']",['6h'],['Ac'],[4],0,500,"[-50.0, -225.0, 0.0, 275.0, 0.0, 0.0]","[0, 1, 0, 1, 0, 0]","['4d', 'Js']",['folds'],"['3s', '3c']","['calls 125', 'checks', 'checks', 'checks']","['4c', '4h']",['folds'],"['6c', 'Kc']","['raises 125 to 225', 'checks', 'checks', 'checks']","['5c', 'Kd']",['folds'],"['Jh', 'Ks']",['folds']
,,,[5],150,250,"[-50.0, -100.0, 0.0, 0.0, 150.0, 0.0]","[0, 0, 0, 0, 1, 0]","['7d', '4c']",['folds'],"['Qs', '5c']",['folds'],"['6c', '8c']",['folds'],"['As', '5h']",['folds'],"['Jh', 'Ks']",['raises 150 to 250'],"['5s', 'Ad']",['folds']
"['Qd', '9d', '2d']",['Td'],['7d'],[2],2108,4216,"[-50.0, 2133.0, 0.0, 0.0, -2083.0, 0.0]","[0, 1, 0, 0, 0, 0]","['5c', 'Tc']",['folds'],"['8s', '9s']","['calls 125', 'checks', 'raises 527 to 804', 'bets 1054', 'bets 2108']","['Jd', '2c']",['folds'],"['6s', '5h']",['folds'],"['9c', '9h']","['raises 125 to 225', 'bets 277', 'calls 527', 'calls 1054', 'folds']","['3s', 'Ks']",['folds']
"['6h', '4d', '3d']",['8s'],,[1],315,630,"[420.0, -210.0, 0.0, 0.0, -210.0, 0.0]","[1, 0, 0, 0, 0, 0]","['Tc', 'Td']","['calls 160', 'checks', 'bets 315']","['9h', 'Ts']","['calls 110', 'checks', 'folds']","['Qc', 'Jh']",['folds'],"['6c', 'Th']",['folds'],"['Qs', '9s']","['raises 110 to 210', 'checks', 'folds']","['7c', '2s']",['folds']
,,,[6],125,250,"[-50.0, -100.0, 0.0, 0.0, 0.0, 150.0]","[0, 0, 0, 0, 0, 1]","['3h', '9d']",['folds'],"['2h', '9s']",['folds'],"['5h', 'Qc']",['folds'],"['5c', '3s']",['folds'],"['6h', '9h']",['folds'],"['Ks', '7s']",['raises 125 to 225']
"['Ad', 'Qh', 'Qs']",['Jh'],,[5],1100,2200,"[-1050.0, -100.0, 0.0, 0.0, 1150.0, 0.0]","[0, 0, 0, 0, 1, 0]","['Ts', 'Tc']","['raises 800 to 1050', 'checks', 'checks', 'folds']","['4s', '6s']",['folds'],"['6c', 'Jc']",['folds'],"['4d', '9d']",['folds'],"['4c', '5c']","['raises 150 to 250', 'calls 800', 'checks', 'bets 1100']","['3h', 'Kc']",['folds']
"['5h', 'Jh', 'Td']",,,[4],225,450,"[-50.0, -200.0, 0.0, 250.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0]","['6s', '7d']",['folds'],"['8c', 'Ah']","['calls 100', 'checks', 'folds']","['Js', '7c']",['folds'],"['Qc', 'Kd']","['raises 100 to 200', 'bets 225']","['2s', '4d']",['folds'],"['3h', '9c']",['folds']
,,,[2],900,550,"[-50.0, 300.0, 0.0, 0.0, -250.0, 0.0]","[0, 1, 0, 0, 0, 0]","['Jd', '7s']",['folds'],"['3h', '2h']",['raises 900 to 1150'],"['Jh', '9d']",['folds'],"['Ah', '6c']",['folds'],"['Ad', 'Js']","['raises 150 to 250', 'folds']","['8h', '5c']",['folds']
"['Jh', 'Ac', '8c']",,,[6],600,550,"[-50.0, -250.0, 0.0, 0.0, 0.0, 300.0]","[0, 0, 0, 0, 0, 1]","['Qc', '4h']",['folds'],"['Kh', 'Jd']","['calls 150', 'checks', 'folds']","['Js', '5c']",['folds'],"['2h', 'Ks']",['folds'],"['6s', 'Td']",['folds'],"['9d', 'Kc']","['raises 150 to 250', 'bets 600']"
,,,[5],110,250,"[-50.0, -100.0, 0.0, 0.0, 150.0, 0.0]","[0, 0, 0, 0, 1, 0]","['8h', '3s']",['folds'],"['6c', '3d']",['folds'],"['6d', 'Js']",['folds'],"['8s', '6h']",['folds'],"['Td', 'Kc']",['raises 110 to 210'],"['Kh', '2s']",['folds']
,,,[3],187,250,"[-50.0, -100.0, 150.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['Jh', 'Qd']",['folds'],"['Kh', 'Ts']",['folds'],"['9c', 'Tc']",['raises 187 to 287'],"['Js', '7c']",['folds'],"['3d', '2h']",['folds'],"['9h', 'Td']",['folds']
"['Qh', 'Kc', '5h']",['Ks'],['6s'],[6],0,21350,"[-1250.0, -100.0, 0.0, 0.0, -10000.0, 11350.0]","[0, 0, 0, 0, 1, 1]","['Ts', 'Th']","['raises 1050 to 1250', 'checks', 'folds']","['3c', '2d']",['folds'],"['2c', 'Ad']",['folds'],"['7s', 'Qs']",['folds'],"['As', 'Ah']","['raises 100 to 200', 'calls 1050', 'bets 1925', 'checks', 'checks', 'calls 6825 and is all-in']","['5d', '5c']","['calls 200', 'calls 1050', 'calls 1925', 'checks', 'bets 6825 and is all-in']"
,,,[1],300,200,"[100.0, -100.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['2s', '5s']",['raises 300 to 400'],"['5d', 'Qs']",['folds'],"['Jh', '2d']",['folds'],"['Kd', '6c']",['folds'],"['6h', '9s']",['folds'],"['4h', '3c']",['folds']
,,,[5],575,600,"[-50.0, -100.0, 0.0, -225.0, 375.0, 0.0]","[0, 0, 0, 0, 1, 0]","['Ts', 'Kh']",['folds'],"['3s', 'Kd']",['folds'],"['Qs', '4s']",['folds'],"['Th', 'Qh']","['raises 125 to 225', 'folds']","['Ac', 'Tc']",['raises 575 to 800'],"['7h', 'Qd']",['folds']
"['Qs', '5s', '7h']",['9c'],['6s'],[2],455,910,"[-50.0, 480.0, 0.0, 0.0, 0.0, -430.0]","[0, 1, 0, 0, 0, 0]","['9s', '4s']",['folds'],"['Jd', 'As']","['calls 150', 'checks', 'calls 180', 'checks', 'bets 455']","['5h', '3c']",['folds'],"['8s', '9d']",['folds'],"['Js', '6c']",['folds'],"['7c', 'Ac']","['raises 150 to 250', 'bets 180', 'checks', 'folds']"
"['5d', '7d', 'Ac']",['5s'],['3s'],[3],0,550,"[-50.0, -250.0, 300.0, 0.0, 0.0, 0.0]","[0, 1, 1, 0, 0, 0]","['Kh', 'Jc']",['folds'],"['Qd', '9h']","['calls 150', 'checks', 'checks', 'checks']","['Ks', 'Js']","['raises 150 to 250', 'checks', 'checks', 'checks']","['6s', 'Td']",['folds'],"['3d', '7c']",['folds'],"['6c', 'As']",['folds']
"['As', 'Ah', 'Js']",['Qs'],['Td'],[2],0,1250,"[-50.0, 650.0, -600.0, 0.0, 0.0, 0.0]","[0, 1, 1, 0, 0, 0]","['3s', '2c']",['folds'],"['9c', '8h']","['calls 125', 'checks', 'checks', 'checks', 'calls 375']","['2h', '2s']","['raises 125 to 225', 'checks', 'checks', 'bets 375']","['7h', '8c']",['folds'],"['7s', '5s']",['folds'],"['2d', 'Ts']",['folds']
,,,[5],100,250,"[-50.0, -100.0, 0.0, 0.0, 150.0, 0.0]","[0, 0, 0, 0, 1, 0]","['Td', '5h']",['folds'],"['2h', '8d']",['folds'],"['6s', 'Jd']",['folds'],"['5c', '2c']",['folds'],"['Js', 'Tc']",['raises 100 to 200'],"['Qc', '7d']",['folds']
